,V0207,V2020,V02426,V4621,faixas,Internet_Banda_Larga,Telefone_fixo
11270,Próprio-Já Pago,Não,Sim,1116.0,+1000,Sim,Não
11271,Próprio-Já Pago,Não,Sim,16500.0,+1000,Sim,Não
11272,Próprio-Já Pago,Não,Sim,2135.0,+1000,Sim,Não
11273,Próprio-Ainda Pagando,Sim,Sim,999999999999.0,+1000,Sim,Sim
11276,Alugado,Não,Não,750.0,800,Não,Não
11277,Alugado,Sim,Sim,4262.0,+1000,Sim,Sim
11278,Próprio-Já Pago,Sim,Sim,788.0,800,Sim,Sim
11279,Próprio-Já Pago,Não,Sim,900.0,1000,Sim,Não
11280,Próprio-Já Pago,Não,Sim,1222.0,+1000,Sim,Não
11281,Alugado,Não,Sim,1525.0,+1000,Sim,Não
11283,Próprio-Já Pago,Não,Sim,4500.0,+1000,Sim,Não
11286,Próprio-Já Pago,Sim,Não,2594.0,+1000,Não,Sim
11287,Próprio-Já Pago,Sim,Não,1450.0,+1000,Não,Sim
11288,Alugado,Sim,Não,197.0,200,Não,Sim
11290,Próprio-Já Pago,Sim,Sim,1272.0,+1000,Sim,Sim
11291,Alugado,Sim,Sim,2500.0,+1000,Sim,Sim
